,companyName,ranking,craftWebsite,companyWebsite,tags,HQ,employeeNumber,description,dateString
25,Home Depot,26,https://craft.co/the-home-depot,homedepot.com,"['Retail', 'building materials', 'ecommerce', 'flooring', 'home & garden', 'home improvement', 'home services', 'hvac', 'interior design']","Atlanta, GA, US","415,700","The Home Depot has 415,700 employees across 4 locations and $110.23 B in annual revenue in FY 2019. See insights on The Home Depot including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
26,Phillips 66,27,https://craft.co/phillips-66,phillips66.com,"['Energy & Utilities', 'Manufacturing & Industrial', 'chemicals', 'electricity', 'natural gas', 'refinery', 'transportation']","Houston, US","14,500","Phillips 66 has 14,500 employees across 30 locations and $107.29 B in annual revenue in FY 2019. See insights on Phillips 66 including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
27,Comcast,28,https://craft.co/comcast,corporate.comcast.com,"['Media & Entertainment', 'Mobile & Telecommunications', 'broadband', 'content provider', 'internet provider', 'television', 'video content', 'wireless']","Philadelphia, US","190,000","Comcast has 190,000 employees at their 1 location and $108.94 B in annual revenue in FY 2019. See insights on Comcast including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
28,Anthem,29,https://craft.co/anthem,antheminc.com,"['Healthcare', 'insurance', 'life insurance']","Indianapolis, US","70,600","Anthem has 70,600 employees across 9 locations and $104.21 B in annual revenue in FY 2019. See insights on Anthem including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
29,Wells Fargo,30,https://craft.co/wells-fargo,wellsfargo.com,"['Financial Services', 'banks', 'holding company', 'insurance', 'investment banks', 'investment management', 'mortgages']","San Francisco, US","259,800","Wells Fargo has 259,800 employees across 37 locations and $85.06 B in annual revenue in FY 2019. See insights on Wells Fargo including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
30,Citigroup,31,https://craft.co/citi,citigroup.com,"['Financial Services', 'banks', 'commercial banks', 'financial management', 'holding company', 'investment management']","New York, US","200,000","Citi has 200,000 employees across 98 locations and $74.29 B in annual revenue in FY 2019. See insights on Citi including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
31,Valero Energy,32,https://craft.co/valero-energy,valero.com,"['Energy & Utilities', 'Manufacturing & Industrial', 'oil', 'petroleum', 'refinery']","San Antonio, US","10,222","Valero Energy has 10,222 employees across 7 locations and $108.32 B in annual revenue in FY 2019. See insights on Valero Energy including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
32,General Electric,33,https://craft.co/general-electric,ge.com,[],"Boston, MA, US","205,000","General Electric has 5 employees across 194 locations and $95.21 b in annual revenue in FY 2019. See insights on General Electric including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
33,Dell Technologies,34,https://craft.co/dell-technologies,delltechnologies.com,"['Technology', 'cloud', 'consumer electronics', 'data storage', 'electronics', 'it services']","Round Rock, US","165,000","Dell Technologies has 165,000 employees across 371 locations and $92.15 B in annual revenue in FY 2020. See insights on Dell Technologies including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
34,Johnson & Johnson,35,https://craft.co/johnson-johnson,jnj.com,"['Healthcare', 'Manufacturing & Industrial', 'conglomerates', 'consumer chemistry', 'health & beauty', 'holding company', 'medical devices', 'pharma', 'therapy']","New Brunswick, US","132,200","Johnson & Johnson has 132,200 employees across 72 locations and $82.06 B in annual revenue in FY 2019. See insights on Johnson & Johnson including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
35,State Farm Insurance,36,https://craft.co/state-farm,statefarm.com,"['Financial Services', 'auto loans', 'car insurance', 'commercial banks', 'home insurance', 'insurance', 'life insurance', 'mortgages']","Bloomington, US","89,977","State Farm has 89,977 employees across 6 locations and $81.73 B in annual revenue in Y 2018. See insights on State Farm including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
36,Target,37,https://craft.co/target,target.com,"['Retail', 'clothing', 'consumer products & services', 'department stores', 'ecommerce', 'furniture', 'health & beauty', 'nutrition']","Minneapolis, MN, US","368,000","Target has 368,000 employees across 7 locations and $78.11 B in annual revenue in FY 2019. See insights on Target including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
37,IBM,38,https://craft.co/ibm,ibm.com,"['Business Products & Services', 'Technology', 'cloud', 'cloud infrastructure(IaaS)', 'cloud platforms(PaaS)', 'cloud services(SaaS)', 'it consulting', 'it services', 'leasing']","Armonk, US","352,600","IBM has 352,600 employees across 126 locations and $77.15 B in annual revenue in FY 2019. See insights on IBM including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
38,Raytheon Technologies,39,https://craft.co/raytheon-technologies,rtx.com,"['Manufacturing & Industrial', 'Technology', 'aerospace', 'cybersecurity', 'defense', 'engines', 'security', 'sensors']","Waltham, US","195,000","Raytheon Technologies has 195,000 employees across 16 locations and $77.05 B in annual revenue in FY 2019. See insights on Raytheon Technologies including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
39,Boeing,40,https://craft.co/boeing,boeing.com,"['Manufacturing & Industrial', 'aerospace', 'aviation', 'defense', 'satellite']","Chicago, US","161,100","Boeing has 161,100 employees across 64 locations and $76.56 B in annual revenue in FY 2019. See insights on Boeing including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
40,Freddie Mac,41,https://craft.co/freddie-mac,freddiemac.com,"['Financial Services', 'Real Estate & Construction', 'mortgages']","McLean, VA, US","6,871","Freddie Mac has 6,871 employees across 13 locations and $14.08 B in annual revenue in FY 2019. See insights on Freddie Mac including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
41,Centene,42,https://craft.co/centene,centene.com,"['Healthcare', 'healthtech', 'life insurance', 'social care', 'telehealth']","St. Louis, US","56,600","Centene has 56,600 employees across 9 locations and $74.64 B in annual revenue in FY 2019. See insights on Centene including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
42,United Parcel Service,43,https://craft.co/parcel-122,fromparcel.com,[],"Brooklyn, US",,"See insights on Parcel including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
43,Lowe's,44,https://craft.co/lowes,lowes.com,"['Retail', 'building materials', 'consumer products & services', 'distribution', 'flooring', 'home & garden', 'home improvement']","Mooresville, US","200,000","Lowe's has 200,000 employees across 2 locations and $72.15 B in annual revenue in FY 2019. See insights on Lowe's including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
44,Intel,45,https://craft.co/intel,intel.com,[],"Santa Clara, CA, US","110,800","Intel has 5 employees across 178 locations and $71.97 b in annual revenue in FY 2019. See insights on Intel including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
45,Facebook,46,https://craft.co/facebook,facebook.com,"['Technology', 'messaging', 'photo sharing', 'social networks']","Menlo Park, US","52,534","Facebook has 52,534 employees across 85 locations and $70.70 B in annual revenue in FY 2019. See insights on Facebook including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
46,FedEx,47,https://craft.co/fedex-corporation,fedex.com,"['Automotive & Transportation', 'delivery', 'freight', 'logistics', 'shipping', 'transportation']","Memphis, US","183,000","FedEx has 183,000 employees across 117 locations and $69.22 B in annual revenue in FY 2020. See insights on FedEx including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
47,MetLife,48,https://craft.co/metlife,metlife.com,"['Financial Services', 'home insurance', 'insurance', 'life insurance']","New York, US","49,000","MetLife has 49,000 employees across 89 locations and $69.62 B in annual revenue in FY 2019. See insights on MetLife including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
48,Walt Disney,49,https://craft.co/the-walt-disney,thewaltdisneycompany.com,[],"Burbank, CA, US","223,000","The Walt Disney Company has 5 employees across 10 locations and $69.57 b in annual revenue in FY 2019. See insights on The Walt Disney Company including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
49,Procter & Gamble,50,https://craft.co/procter-gamble,us.pg.com,"['Healthcare', 'Manufacturing & Industrial', 'consumer chemistry', 'consumer goods', 'health & beauty']","Cincinnati, US","97,000","Procter & Gamble has 97,000 employees across 85 locations and $70.95 B in annual revenue in FY 2020. See insights on Procter & Gamble including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
50,PepsiCo,51,https://craft.co/pepsico,pepsico.com,"['Food & Beverage', 'beverages', 'distribution', 'processed food']","Harrison, US","267,000","PepsiCo has 267,000 employees across 32 locations and $67.16 B in annual revenue in FY 2019. See insights on PepsiCo including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
51,Humana,52,https://craft.co/humana,humana.com,"['Financial Services', 'dental', 'insurance', 'life insurance']","Louisville, US","46,000","Humana has 46,000 employees across 6 locations and $64.89 B in annual revenue in FY 2019. See insights on Humana including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
52,Prudential Financial,53,https://craft.co/prudential-financial,prudential.com,"['Financial Services', 'financial management', 'fintech', 'investment management', 'life insurance']","Newark, US","51,511","Prudential Financial has 51,511 employees across 38 locations and $64.81 B in annual revenue in FY 2019. See insights on Prudential Financial including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
53,Archer Daniels Midland,54,https://craft.co/archer-daniels-midland,adm.com,"['Food & Beverage', 'agricultural products', 'chemicals', 'food additives', 'nutrition', 'processed food']","Chicago, US","38,100","Archer Daniels Midland has 38,100 employees across 64 locations and $64.66 B in annual revenue in FY 2019. See insights on Archer Daniels Midland including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
54,Albertsons,55,https://craft.co/albertsons,albertsons.com,"['Food & Beverage', 'Healthcare', 'Retail', 'groceries', 'pharma', 'supply chain']","Boise, US","270,000","Albertsons has 270,000 employees across 2 locations and $62.46 B in annual revenue in FY 2019. See insights on Albertsons including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
55,Sysco,56,https://craft.co/sysco-corporation,sysco.com,"['Food & Beverage', 'Retail', 'consumer goods', 'distribution', 'groceries', 'supply chain']","Houston, US","57,000","Sysco has 57,000 employees across 99 locations and $52.89 B in annual revenue in FY 2020. See insights on Sysco including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
56,Lockheed Martin,57,https://craft.co/lockheed-martin,lockheedmartin.com,[],"Bethesda, MD, US","110,000","Lockheed Martin has 5 employees across 64 locations and $59.81 b in annual revenue in FY 2019. See insights on Lockheed Martin including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
57,HP,58,https://craft.co/hp,hp.com,"['Manufacturing & Industrial', 'Technology', 'cloud', 'consumer electronics', 'cybersecurity', 'electronics', 'imaging', 'printing']","Palo Alto, US","56,000","HP has 56,000 employees across 115 locations and $58.76 B in annual revenue in FY 2019. See insights on HP including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
58,Energy Transfer,59,https://craft.co/energy-transfer,energytransfer.com,"['Energy & Utilities', 'energy services', 'natural gas', 'oil & gas', 'pipelines']","Dallas, US","12,812","Energy Transfer has 12,812 employees across 7 locations and $54.21 B in annual revenue in FY 2019. See insights on Energy Transfer including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
59,Goldman Sachs Group,60,https://craft.co/goldman-sachs,goldmansachs.com,"['Financial Services', 'brokerage', 'financial management', 'investment banks', 'investment management']","New York, US","38,300","Goldman Sachs has 38,300 employees across 71 locations and $36.55 B in annual revenue in FY 2019. See insights on Goldman Sachs including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
60,Morgan Stanley,61,https://craft.co/morgan-stanley,morganstanley.com,"['Financial Services', 'brokerage', 'financial management', 'investment banks', 'investment management']","New York, US","61,596","Morgan Stanley has 61,596 employees across 62 locations and $53.82 B in annual revenue in FY 2019. See insights on Morgan Stanley including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
61,Caterpillar,62,https://craft.co/caterpillar,caterpillar.com,"['Manufacturing & Industrial', 'auto parts', 'construction equipment', 'engines', 'heavy equipment', 'machinery']","Deerfield, US","102,300","Caterpillar has 102,300 employees across 136 locations and $53.80 B in annual revenue in FY 2019. See insights on Caterpillar including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
62,Cisco Systems,63,https://craft.co/cisco-air-systems,ciscoair.com,"['Retail', 'distribution', 'energy services', 'machinery', 'manufacturing equipment']","Sacramento, CA, US",45,"Cisco Air Systems has 45 employees across 4 locations. See insights on Cisco Air Systems including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
63,Pfizer,64,https://craft.co/pfizer,pfizer.com,"['Healthcare', 'biotech', 'clinical research', 'drug development', 'pharma']","New York, US","88,300","Pfizer has 88,300 employees across 90 locations and $51.75 B in annual revenue in FY 2019. See insights on Pfizer including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
64,HCA Healthcare,65,https://craft.co/hca-healthcare,hcahealthcare.com,"['Healthcare', 'hospitals', 'therapy']","Nashville, US","210,000","HCA Healthcare has 210,000 employees across 2 locations and $51.34 B in annual revenue in FY 2019. See insights on HCA Healthcare including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
65,AIG,66,https://craft.co/aig,aig.com,"['Financial Services', 'insurance', 'investment management', 'life insurance']","New York, US","46,000","AIG has 46,000 employees across 126 locations and $49.75 B in annual revenue in FY 2019. See insights on AIG including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
66,American Express,67,https://craft.co/american-express,americanexpress.com,"['Financial Services', 'insurance', 'payments']","New York, US","64,500","American Express has 64,500 employees across 8 locations and $47.02 B in annual revenue in FY 2019. See insights on American Express including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
67,Delta Air Lines,68,https://craft.co/delta-airlines,delta.com,"['Travel & Leisure', 'airlines', 'transportation']","Atlanta, US","91,224","Delta Air Lines has 91,224 employees at their 1 location and $47.01 B in annual revenue in FY 2019. See insights on Delta Air Lines including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
68,Merck,69,https://craft.co/merck-%26-co,merck.com,[],"Kenilworth, NJ, US","71,000","Merck has 5 employees across 266 locations and $46.84 b in annual revenue in FY 2019. See insights on Merck including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
69,American Airlines Group,70,https://craft.co/american-airlines,aa.com,"['Automotive & Transportation', 'airlines', 'airport', 'freight']","Fort Worth, US","110,500","American Airlines has 110,500 employees at their 1 location and $45.77 B in annual revenue in FY 2019. See insights on American Airlines including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
70,Charter Communications,71,https://craft.co/charter,spectrum.com,"['Mobile & Telecommunications', 'broadband', 'internet provider', 'telecommunications', 'television', 'wireless']","Stamford, US","95,100","Charter Communications has 95,100 employees at their 1 location and $45.76 B in annual revenue in FY 2019. See insights on Charter Communications including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
71,Allstate,72,https://craft.co/allstate,allstate.com,"['Financial Services', 'car insurance', 'home insurance', 'insurance', 'life insurance']","Northbrook, US","45,780","Allstate has 45,780 employees across 27 locations and $44.68 B in annual revenue in FY 2019. See insights on Allstate including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
72,New York Life Insurance,73,https://craft.co/new-york-life-insurance-company,newyorklife.com,"['Financial Services', 'Investment', 'financial management', 'life insurance']","New York, US","31,097","New York Life Insurance has 31,097 employees across 23 locations and $34.50 B in annual revenue in FY 2019. See insights on New York Life Insurance including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
73,Nationwide,74,https://craft.co/nationwide,petinsurance.com,[],"Brea, US",,"See insights on Nationwide including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
74,Best Buy,75,https://craft.co/best-buy,corporate.bestbuy.com,"['Retail', 'consumer electronics', 'consumer goods', 'ecommerce', 'electronics']","Richfield, US","125,000","Best Buy has 125,000 employees across 3 locations and $43.64 B in annual revenue in FY 2020. See insights on Best Buy including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
75,United Airlines Holdings,76,https://craft.co/united-airlines,united.com,"['Automotive & Transportation', 'airlines', 'aviation']","Chicago, US","91,800","United Airlines has 91,800 employees at their 1 location and $43.26 B in annual revenue in FY 2019. See insights on United Airlines including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
76,Liberty Mutual Insurance Group,77,https://craft.co/liberty-mutual-insurance,libertymutual.com,"['Financial Services', 'car insurance', 'home insurance', 'insurance', 'reinsurance']","Boston, US","45,929","Liberty Mutual Insurance has 45,929 employees across 43 locations and $41.57 B in annual revenue in FY 2018. See insights on Liberty Mutual Insurance including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
77,Dow,78,https://craft.co/dow,dow.com,"['Manufacturing & Industrial', 'advanced materials', 'chemicals', 'coatings', 'packaging', 'plastic']","Midland, US","36,500","Dow has 36,500 employees across 185 locations and $42.95 B in annual revenue in FY 2019. See insights on Dow including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
78,Tyson Foods,79,https://craft.co/tyson-foods,tysonfoods.com,"['Agriculture', 'Food & Beverage', 'agricultural products', 'farming', 'packaging', 'processed food', 'supply chain']","Springdale, US","141,000","Tyson Foods has 141,000 employees across 4 locations and $43.19 B in annual revenue in FY 2020. See insights on Tyson Foods including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
79,TJX,80,https://craft.co/the-tjx,tjx.com,"['Retail', 'accessories', 'clothing', 'fashion', 'footwear', 'home & garden', 'home care']","Framingham, US","286,000","TJX has 286,000 employees across 2 locations and $41.72 B in annual revenue in FY 2020. See insights on TJX including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
80,TIAA,81,https://craft.co/tiaa-cref,tiaa.org,"['Financial Services', 'brokerage', 'investment management', 'life insurance']","New York, US","11,618","TIAA has 11,618 employees across 4 locations. See insights on TIAA including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
